Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
4,6,4784,6,6,33936,165,4096,9,0,4,9,320,1032,0,1
4,11,302176,10,10,366848,192,286552,14,10,6,9,16736,13528,0,1
4,6,5808,6,6,200896,85,4096,9,0,4,9,320,8968,0,1
4,11,118032,10,10,130640,364,111256,14,10,6,9,16736,1008,0,1
1,11,6240,10,6,24496,174,32768,14,10,4,12,320,1344,0,1
1,11,250296,0,6,618496,3490,253952,14,10,5,12,320,1216,0,1
1,11,108856,0,6,229376,116,110592,14,10,5,12,320,1240,0,1
1,11,63344,10,10,314320,191,331776,14,10,4,9,16704,55000,0,1
4,11,439472,10,10,476256,192,311296,14,10,5,9,16736,55000,0,1
1,11,87232,10,10,703792,8796,716800,14,10,5,9,16704,762824,0,1
4,11,802912,10,10,908448,8796,775816,14,10,6,9,16736,762824,0,1
1,6,5392,6,6,705440,8672,4096,9,0,4,9,320,468792,0,1
4,6,6736,6,6,922224,8672,4096,9,0,5,9,320,468792,0,1
1,0,0,8,5,0,0,0,8,0,1,12,1024,787592,0,1
1,6,4096,10,6,0,0,0,12,10,1,12,1344,787624,0,1
4,6,4096,10,6,0,0,0,12,10,1,12,352,787624,0,1
4,0,0,8,5,0,0,0,8,0,0,12,64,787600,0,1
1,0,0,8,5,0,0,0,8,0,1,12,1088,787600,0,1
4,0,0,8,5,0,0,0,8,0,0,12,0,787592,0,1
1,0,0,0,5,25264,699,16384,10,0,4,12,320,1452,0,1
1,11,17328,10,10,118784,113,126976,14,10,4,9,16704,44304,0,1
4,11,148832,10,10,169392,116,130752,14,10,5,9,16736,44304,0,1
4,11,5409568,10,10,7032640,180,5039696,14,10,6,9,16736,593776,0,1
1,11,311904,10,10,5591856,177,5640192,14,10,5,9,16704,593776,0,1
1,11,95984,10,10,416288,232,421888,14,10,4,9,16704,1096,0,1
4,11,552368,10,10,582016,232,487384,14,10,5,9,16736,1096,0,1
1,11,12064,10,10,60928,159,65536,14,10,4,9,16704,1384,0,1
4,11,73392,10,10,76832,160,67160,14,10,5,9,16736,1384,0,1
1,11,114944,10,10,751456,1037,757760,14,10,5,9,16704,3096,0,1
4,11,908320,10,10,1024832,164,874400,14,10,6,9,16736,622624,0,1
1,11,65568,10,10,810784,161,819200,14,10,5,9,16704,622616,0,1
1,11,181008,10,10,1158928,208,1163264,14,10,5,9,16704,88640,0,1
1,11,125104,10,10,2594832,20091,2641920,14,10,6,9,16704,1352,0,1
4,11,2566176,10,10,2947552,10860,2463240,14,10,7,9,16736,1352,0,1
1,6,6400,6,6,2688816,18189,4096,9,0,4,9,320,1368,0,1
4,6,80384,6,6,3573936,9870,4096,9,0,5,9,64,1368,0,1
1,11,5392,10,10,20192,147,73728,14,10,4,9,16704,1152,0,1
4,11,22544,10,10,24000,148,20752,14,10,5,9,16736,1152,0,1
1,6,4320,6,6,13648,147,4096,9,0,3,9,320,1152,0,1
4,6,4544,6,6,15168,147,4096,9,0,4,9,64,1152,0,1
4,6,5376,6,6,0,0,4096,9,0,4,11,32832,1752,0,1
1,11,73424,10,10,0,0,286720,14,10,5,9,49472,1752,0,1
4,11,296992,10,10,0,0,225048,14,10,6,11,49504,1752,0,1
1,6,4736,6,6,0,0,4096,9,0,3,9,33088,1752,0,1
1,11,12608,10,10,30016,295,36864,14,10,4,9,16704,1032,0,1
4,11,34240,10,10,35904,296,25104,14,10,5,9,16736,1032,0,1
4,11,88688,10,10,92912,420,74312,14,10,7,9,16736,1040,0,1
4,10,904432,0,6,0,0,1359872,12,0,6,12,33120,307750,0,1
1,11,15440,10,10,62256,181,73728,14,10,6,9,16832,1424,0,1
4,11,80992,10,10,85536,184,70712,14,10,7,9,16864,1424,0,1
1,11,15424,10,10,83232,184,90112,14,10,5,9,16704,3544,0,1
4,11,102288,10,10,113936,184,90840,14,10,6,9,16736,3544,0,1
1,11,139072,10,10,675856,165,688128,14,10,5,9,16704,1760,0,1
4,11,855520,10,10,941760,168,748664,14,10,6,9,16736,1760,0,1
4,11,247872,10,10,280144,148,226712,14,10,6,9,16736,1024,0,1
4,11,154448,10,10,181104,180,140520,14,10,6,9,16736,1360,0,1
4,11,165840,10,10,180832,136,151992,14,10,6,9,16736,2616,0,1
4,11,266160,10,10,315456,168,243448,14,10,6,9,16736,1120,0,1
1,11,32240,10,10,126464,395,131072,14,10,4,9,16704,1096,0,1
4,11,164720,10,10,169424,396,142728,14,10,5,9,16736,1096,0,1
1,11,32080,10,10,152512,157,159744,14,10,5,9,16704,1400,0,1
4,11,193584,10,10,199408,160,172952,14,10,6,9,16736,1400,0,1
4,11,714800,10,10,849248,156,675064,14,10,6,9,16736,1096,0,1
1,11,108784,10,10,623648,156,630784,14,10,5,9,16704,1096,0,1
1,11,27552,10,10,110768,168,118784,14,10,5,9,16704,1448,0,1
4,11,140304,10,10,152288,168,120808,14,10,6,9,16736,1448,0,1
1,11,157552,10,10,503632,159,507904,14,10,5,9,16704,1408,0,1
4,11,747968,10,10,851232,160,608744,14,10,6,9,16736,1408,0,1
1,11,82080,10,10,398800,202,425984,14,10,5,9,16704,31992,0,1
4,6,49152,0,4,65536,1921,70864,2,28,9,18,0,0,0,1
1,11,7456,10,10,22960,179,28672,14,10,4,9,16704,1200,0,1
1,6,3730168,0,5,0,0,0,11,0,3,0,1344,864,0,1
1,11,24048,10,10,51456,150,57344,14,10,4,9,16704,1088,0,1
1,11,8736,10,10,11344,128,16384,14,10,4,9,16704,1152,0,1
1,11,49968,10,10,343632,222,348160,14,10,5,9,16704,22712,0,1
4,11,317728,10,10,327888,156,286792,14,10,6,9,16736,1336,0,1
1,11,8256,10,10,33552,168,40960,14,10,4,9,16704,1152,0,1
1,11,163984,10,10,524032,153,544768,14,10,5,9,16704,1360,0,1
4,11,43360,10,10,47280,172,37544,14,10,5,9,16736,1064,0,1
4,11,92592,10,10,102080,176,79304,14,10,6,9,16736,1200,0,1
4,11,13312,10,10,14304,140,11568,14,10,5,9,16736,1184,0,1
4,10,42292,0,4,0,0,0,48,0,1,21,34144,2888,0,1
1,0,0,0,4,0,0,8192,11,0,2,12,34112,928,0,1
4,10,132668,0,4,0,0,0,48,0,1,21,34144,59756,0,1
4,11,60256,10,10,0,0,54320,14,10,6,11,49504,1936,0,1
4,11,277024,10,10,304896,180,182176,14,10,5,9,16736,1360,0,1
4,6,5312,6,6,0,0,4096,9,0,4,11,33088,1888,0,1
1,11,6400,10,10,27888,115,32768,14,10,4,9,16704,1352,0,1
4,11,32368,10,10,34480,116,29880,14,10,5,9,16736,1352,0,1
1,6,4288,6,6,17120,115,4096,9,0,3,9,320,1072,0,1
4,6,4464,6,6,20352,115,4096,9,0,4,9,320,1072,0,1
4,11,38160,10,10,41616,128,33976,14,10,5,9,16736,1120,0,1
1,11,7440,10,10,82992,4240,94208,14,10,5,9,16704,1048,0,1
4,11,108160,10,10,131808,4240,106152,14,10,6,9,16736,1048,0,1
1,6,4752,6,6,117504,3222,4096,9,0,3,9,320,1048,0,1
4,6,5408,6,6,175632,3222,4096,9,0,4,9,320,1048,0,1
4,11,172128,10,10,218720,164,161376,14,10,5,9,16736,1808,0,1
4,6,5616,6,6,255456,162,4096,9,0,4,9,320,1744,0,1
4,6,5008,6,6,13021184,67960,4096,9,0,22,11,0,214288,0,1
1,6,4736,6,6,8392704,70263,4096,9,0,21,9,0,214288,0,1
1,6,4736,6,6,8556544,70263,4096,9,0,21,9,0,214288,0,1
1,11,5696,10,10,50128,787,57344,14,10,5,9,16704,1312,0,1
4,11,56112,10,10,64064,788,53792,14,10,6,9,16736,1312,0,1
2,10,72052,0,4,0,0,0,48,0,1,12,34112,1064,0,1
4,10,72052,0,4,0,0,0,48,0,1,21,34144,1064,0,1
1,10,72060,0,4,0,0,8192,48,0,2,12,34112,1064,0,1
4,10,72052,0,4,0,0,0,48,0,1,21,34112,1064,0,1
4,6,331344,0,6,0,0,253952,14,0,7,12,33120,736,0,1
1,11,18848,10,10,0,0,159744,14,10,4,9,49472,2848,0,1
1,11,875104,10,10,2157728,200731,2441216,14,10,6,9,16704,163856,1,1
4,11,42880,10,10,47952,80,37408,14,10,5,9,16736,1008,0,1
4,11,28928,10,10,31616,80,24944,14,10,5,9,16736,1008,0,1
1,11,8080,10,10,27840,162,32768,14,10,4,9,16704,5120,0,1
4,11,35440,10,10,37328,164,31392,14,10,5,9,16736,5120,0,1
4,6,5168,6,6,37200,162,4096,9,0,5,9,320,5120,0,1
1,6,4624,6,6,30320,162,4096,9,0,4,9,320,5120,0,1
4,11,24448,0,5,30816,1468,20480,14,0,6,12,352,1452,0,1
4,6,6832,6,6,349232,162,4096,9,0,4,9,320,2744416,1,1
1,11,5008,10,10,8784,200,16384,14,10,4,9,16704,1088,0,1
4,11,10416,10,10,11360,200,9456,14,10,5,9,16736,1088,0,1
4,11,158304,10,10,179040,144,146432,14,10,6,9,16736,3072,1,1
1,11,8592,10,10,60768,126,65536,14,10,4,9,16704,34488,0,1
4,11,72736,10,10,77184,128,66472,14,10,5,9,16736,34488,0,1
1,6,4720,6,6,43184,72,4096,9,0,3,9,320,34144,0,1
4,6,5360,6,6,53168,72,4096,9,0,4,9,320,34144,0,1
4,11,310640,10,10,319024,148,292952,14,10,6,9,16736,1336,0,1
4,11,1433184,0,6,1709024,568,1294336,14,10,6,12,16736,1080,0,1
1,11,99844,0,6,114688,109,102400,14,10,4,12,320,2024,0,1
1,11,7744,10,10,46144,301,53248,14,10,4,9,16704,1056,0,1
4,11,50448,10,10,54976,304,47784,14,10,5,9,16736,1056,0,1
1,11,5360,10,10,26448,190,32768,14,10,5,9,16704,1008,0,1
4,11,34928,10,10,36832,192,33040,14,10,6,9,16736,1008,0,1
1,6,4560,6,6,62368,102,4096,9,0,3,9,320,1008,0,1
4,6,4992,6,6,67408,102,4096,9,0,5,9,320,1008,0,1
1,10,1078796,21315,6,1071192,93,4096,9,0,3,9,320,1008,0,1
1,11,36016,21315,10,863968,115,872448,14,10,4,9,16704,1008,0,1
4,11,804992,21315,10,998960,116,780808,14,10,5,9,16736,1008,0,1
1,10,1090268,21315,6,1083096,74,4096,9,0,3,9,320,1008,0,1
4,10,1304140,21315,6,1295752,74,4096,9,0,4,9,64,1008,0,1
4,6,24576,0,4,40960,273,45488,2,28,9,18,0,0,0,1
1,10,4096,10,10,0,0,0,14,10,1,9,1344,34312,0,1
4,10,4096,10,10,0,0,0,14,10,1,9,352,34312,0,1
1,0,0,6,6,0,0,0,9,0,0,9,1344,34312,0,1
4,0,0,6,6,0,0,0,9,0,0,9,320,34312,0,1
4,11,156304,10,10,164768,208,143240,14,10,6,9,16736,11800,0,1
4,6,6160,6,6,319488,7146,4096,9,0,4,9,320,164936,0,1
4,11,131360,10,10,156112,6948,124512,14,10,6,9,16736,164936,0,1
1,11,9600,10,10,115840,6791,139264,14,10,5,9,16704,164936,0,1
1,6,5120,6,6,209296,6986,4096,9,0,3,9,320,164936,0,1
1,6,414044,0,4,0,0,8192,8,0,2,12,34144,1120,0,1
1,10,1591804,0,5,0,0,0,11,0,3,0,34112,1120,0,1
4,10,2056552,0,5,0,0,0,11,0,3,0,33088,1120,0,1
1,0,0,0,4,0,0,8192,8,0,2,12,34112,976,0,1
1,6,103516,0,4,0,0,8192,8,0,2,12,34144,1168,0,1
4,11,39424,10,10,0,0,37136,14,10,5,11,49504,101816,0,1
1,6,4768,6,6,0,0,4096,9,0,3,9,33088,101080,0,1
4,6,5424,6,6,0,0,4096,9,0,4,11,32832,101080,0,1
1,6,4320,6,6,25568,52,4096,9,0,3,9,320,1040,0,1
1,11,4576,10,10,16320,52,20480,14,10,5,9,16704,1056,0,1
4,11,17456,10,10,21248,52,16672,14,10,6,9,16736,1056,0,1
4,6,4544,6,6,32128,52,4096,9,0,4,9,320,1040,0,1
4,11,711120,10,10,724080,232,614912,14,10,5,9,16736,1328,0,1
1,11,9120,10,10,33104,180,40960,14,10,5,9,16704,1072,0,1
4,11,39936,10,10,44400,180,35856,14,10,6,9,16736,1072,0,1
4,11,64352,10,10,70192,136,61872,14,10,5,9,16736,1056,0,1
4,11,55120,10,10,62400,188,50272,14,10,5,9,16736,1352,0,1
4,11,23872,10,10,0,0,20944,14,10,5,11,49504,109832,0,1
4,11,382400,10,10,411280,152,339816,14,10,6,9,16736,1400,0,1
4,11,130768,10,10,145104,316,92304,14,10,5,9,16736,1312,0,1
4,11,61968,10,10,73408,188,55824,14,10,5,9,16736,1600,0,1
4,11,55792,10,10,63680,188,50928,14,10,5,9,16736,3176,0,1
4,11,80224,10,10,92976,128,75280,14,10,5,9,16736,22840,0,1
4,11,23904,10,10,26544,524,21776,14,10,5,9,16736,1056,0,1
4,11,47104,10,10,52256,184,42416,14,10,5,9,16736,1904,0,1
1,10,137780,0,4,0,0,8192,48,0,2,12,34144,1036,0,1
4,11,45568,10,10,50288,172,42152,14,10,5,9,16736,1320,0,1
4,6,5216,6,6,0,0,4096,9,0,4,11,33088,1896,0,1
4,6,5600,6,6,0,0,4096,9,0,4,11,33088,2056,0,1
1,11,43808,10,10,363392,110,372736,14,10,5,9,16704,174544,0,1
4,11,407232,10,10,495152,112,358408,14,10,6,9,16736,174544,0,1
4,11,359968,10,10,450560,108,313992,14,10,6,9,16736,1032,0,1
4,11,397072,10,10,466672,92,365544,14,10,5,9,16736,1104,0,1
4,11,390352,10,10,500288,116,365328,14,10,6,9,16736,1344,0,1
1,11,28480,10,10,112576,351,118784,14,10,5,9,16704,1352,0,1
4,11,133680,10,10,154304,352,105352,14,10,6,9,16736,1352,0,1
4,11,319040,10,10,359920,144,267560,14,10,6,9,16736,1312,0,1
4,6,499712,0,4,516096,860,521936,2,28,9,18,0,0,0,1
1,0,0,0,4,0,0,8192,8,0,2,12,1344,1096,0,1
1,6,526424,0,4,0,0,8192,8,0,2,12,1344,1096,0,1
1,6,636912,0,4,0,0,8192,48,0,2,12,34144,1096,0,1
1,6,526424,0,4,0,0,8192,8,0,2,12,1344,1104,0,1
4,11,1669728,10,10,2206752,96,1563288,14,10,7,9,16736,1432,0,1
1,10,29232,0,6,0,0,28672,12,0,4,12,33088,1640,0,1
4,6,5056,6,6,0,0,4096,9,0,4,11,32832,2104,0,1
4,11,23888,10,10,0,0,20752,14,10,5,11,49504,2104,0,1
4,11,151648,10,10,176128,112,142200,14,10,6,9,16736,2328,0,1
1,11,15488,10,10,150240,111,155648,14,10,5,9,16704,2328,0,1
4,11,311872,10,10,330176,140,189224,14,10,6,9,16736,1128,0,1
4,11,114368,10,10,129424,96,102872,14,10,5,9,16736,1184,0,1
4,11,79792,10,10,89840,96,69152,14,10,6,9,16736,1160,0,1
4,11,211056,10,10,244176,96,187056,14,10,6,9,16736,1160,0,1
4,11,107584,10,10,124800,100,96736,14,10,5,9,16736,1192,0,1
4,11,40432,10,10,0,0,37152,14,10,5,11,49504,7384,0,1
4,6,5552,6,6,0,0,4096,9,0,4,11,33088,7160,0,1
4,6,5936,6,6,0,0,4096,9,0,4,11,33088,473848,0,1
1,11,16944,10,10,0,0,86016,14,10,4,9,49472,473840,0,1
4,11,92960,10,10,0,0,78384,14,10,5,11,49504,473848,0,1
1,6,5024,6,6,0,0,4096,9,0,3,9,33088,473840,0,1
1,11,9504,10,10,37968,941,45056,14,10,5,9,16704,1064,0,1
4,11,52272,10,10,56560,944,46432,14,10,6,9,16736,1064,0,1
1,6,4464,6,6,49872,941,4096,9,0,3,9,320,1064,0,1
4,6,4832,6,6,71216,941,4096,9,0,4,9,320,1064,0,1
4,11,31328,10,10,0,0,17952,14,10,5,11,49504,1904,0,1
1,6,4352,6,6,0,0,4096,9,0,3,9,33088,1904,0,1
4,6,4592,6,6,0,0,4096,9,0,4,11,33088,1904,0,1
1,11,10928,10,10,12160,108,16384,14,10,4,9,17728,1040,0,1
4,11,29424,10,10,30000,108,23776,14,10,5,9,16736,1040,0,1
1,6,8336,6,6,14160,108,8192,9,0,4,9,1344,1040,0,1
4,6,4512,6,6,25008,108,4096,9,0,5,9,320,1040,0,1
1,11,20640,10,10,29664,115,36864,14,10,4,9,16704,15468536,0,1
4,11,35456,10,10,36672,116,24416,14,10,5,9,16736,15468536,0,1
1,6,4272,6,6,24512,115,4096,9,0,3,9,320,6250408,0,1
4,6,4432,6,6,29184,115,4096,9,0,4,9,320,6250408,0,1
4,10,165344,0,6,225808,163,163840,12,0,7,12,352,10040,0,1
4,0,0,0,6,1705792,164,1462272,12,0,8,12,352,17616,0,1
4,0,0,0,6,274048,164,192512,12,0,8,12,352,13736,0,1
4,0,0,0,6,215584,164,159744,12,0,6,12,352,6844640,0,1
4,11,172368,10,10,185824,80,158208,14,10,5,9,16736,1328,0,1
4,11,431280,10,10,511296,120,391688,14,10,6,9,16736,1304,0,1
4,11,124064,10,10,128592,84,106624,14,10,5,9,16736,1328,0,1
1,11,12848,10,10,39936,1824,49152,14,10,5,9,16704,1048,0,1
4,11,46976,10,10,51264,1824,37456,14,10,6,9,16736,1048,0,1
1,11,28064,10,10,84208,1851,94208,14,10,5,9,16704,1096,0,1
4,11,85504,10,10,93824,216,75104,14,10,5,9,16736,1072,0,1
1,10,4096,10,10,0,0,0,14,10,1,9,1344,112320,0,1
1,10,4096,10,10,0,0,0,14,10,1,9,1344,7736,0,1
1,10,4096,10,10,0,0,0,14,10,1,9,1344,8624,0,1
4,10,4096,10,10,0,0,0,14,10,1,9,352,62936,0,1
4,10,4096,10,10,0,0,0,14,10,1,9,352,9184,0,1
4,10,4096,10,10,0,0,0,14,10,1,9,352,7377544,0,1
1,0,0,6,6,0,0,0,9,0,0,9,1344,7377544,0,1
4,0,0,6,6,0,0,0,9,0,0,9,320,7377544,0,1
4,10,4096,10,10,0,0,0,14,10,1,9,352,7389440,1,1
1,0,0,6,6,0,0,0,9,0,0,9,1344,7389440,1,1
4,0,0,6,6,0,0,0,9,0,0,9,320,7389440,1,1
4,11,1000608,10,10,1077072,940,916088,14,10,5,9,16736,8848,0,1
1,11,71680,10,10,847840,937,860160,14,10,4,9,16704,8848,0,1
1,6,5248,6,6,1074496,937,4096,9,0,3,9,320,8776,0,1
4,6,6336,6,6,1398096,937,4096,9,0,4,9,320,8776,0,1
1,11,50788,0,6,98304,346,53248,14,10,4,12,320,1296,0,1
1,10,89808,0,6,98080,312,53248,14,10,4,12,320,1296,0,1
1,11,53968,10,10,3658704,9375,3694592,14,10,4,9,16704,70424,0,1
4,11,3281408,10,10,3872480,9376,3257704,14,10,5,9,16736,70424,0,1
1,6,6192,6,6,2337056,9375,4096,9,0,4,9,320,80184,0,1
4,6,8400,6,6,3267872,9375,4096,9,0,5,9,64,80184,0,1
1,11,14064,10,10,0,0,69632,14,10,4,9,49472,1824,0,1
2,11,13760,10,10,0,0,65536,14,10,5,9,49472,1824,0,1
4,11,37520,10,10,40816,180,33152,14,10,5,9,16736,2176,0,1
4,6,4992,6,6,42160,179,4096,9,0,4,9,320,2976,0,1
1,11,19184,10,10,93376,139,98304,14,10,5,9,16704,5544,0,1
4,11,119136,10,10,123984,140,107432,14,10,6,9,16736,5544,0,1
4,11,507328,10,10,552896,244,468272,14,10,6,9,16736,6680,0,1
4,11,639936,10,10,669376,288,490736,14,10,6,9,16736,1040,0,1
4,6,6144,6,6,262656,245,4096,9,0,4,9,320,1040,0,1
1,11,12496,10,10,37792,828,45056,14,10,5,9,16704,1008,0,1
4,11,43328,10,10,50016,828,37168,14,10,6,9,16736,1008,0,1
4,6,4592,6,6,37984,828,4096,9,0,4,9,320,1008,0,1
1,6,4320,6,6,23984,828,4096,9,0,3,9,320,1008,0,1
4,11,8832,10,10,9792,124,8464,14,10,5,9,16736,1032,0,1
4,11,215120,10,10,220592,108,205984,14,10,6,9,16736,992,0,1
1,10,310480,0,6,0,0,282624,14,10,6,12,33088,2944,0,1
1,10,8496,0,6,0,0,8192,12,0,4,12,33088,1608,0,1
4,11,94640,10,10,98688,108,69952,14,10,6,9,16736,1320,0,1
4,6,5312,6,6,100032,105,4096,9,0,4,9,320,1320,0,1
1,11,5344,10,10,0,0,16384,14,10,5,9,49472,2408,0,1
4,11,14320,10,10,0,0,12560,14,10,6,11,49504,2408,0,1
4,6,5312,6,6,101456,195,4096,9,0,4,9,320,5696,0,1
1,6,4736,6,6,83328,195,4096,9,0,3,9,320,5696,0,1
4,11,618912,10,10,683840,204,551992,14,10,6,9,16736,1000,0,1
4,11,426384,10,10,476272,108,384984,14,10,6,9,16736,1048,0,1
4,11,238000,10,10,272944,116,202792,14,10,6,9,16736,1080,0,1
4,11,80432,10,10,85664,112,48472,14,10,5,9,16736,1008,0,1
4,11,81936,10,10,90288,108,73320,14,10,6,9,16736,1048,0,1
1,11,4480,10,10,9808,119,16384,14,10,4,9,16704,1096,0,1
4,11,13168,10,10,14160,120,12624,14,10,5,9,16736,1096,0,1
1,6,4352,6,6,18928,119,4096,9,0,3,9,320,1096,0,1
4,6,4608,6,6,21920,119,4096,9,0,4,9,320,1096,0,1
4,11,260928,0,6,326544,148,217088,14,10,5,12,49504,1048,0,1
4,11,152976,10,10,167632,112,129528,14,10,5,9,16736,1016,0,1
4,11,97024,10,10,602112,340,143360,14,10,12,9,16736,50624,0,1
4,6,4896,6,6,397312,261,4096,9,0,10,9,0,13248,0,1
4,6,5984,6,6,476112,160,4096,9,0,4,9,320,17440,0,1
1,11,6128,10,10,26208,621,32768,14,10,5,9,16704,1064,0,1
4,11,27744,10,10,32128,624,25456,14,10,6,9,16736,1064,0,1
1,11,52496,10,10,0,0,700416,14,10,5,18,53568,37672,0,1
4,11,658064,10,10,0,0,615232,14,10,6,26,53600,37672,0,1
4,6,5328,6,6,152784,153,4096,9,0,4,9,320,31968,0,1
4,11,367936,10,10,434576,108,346552,14,10,5,9,16736,68248,0,1
1,11,14976,10,10,337872,106,344064,14,10,4,9,16704,68248,0,1
4,6,5216,6,6,297872,106,4096,9,0,4,9,320,56920,0,1
1,6,4656,6,6,211136,106,4096,9,0,3,9,320,56920,0,1
4,11,68016,10,10,71536,104,57680,14,10,6,9,16736,1296,0,1
4,6,4800,6,6,47280,104,4096,9,0,4,9,320,1296,0,1
4,11,341584,10,10,402320,128,311912,14,10,6,9,16736,31600,0,1
4,6,5392,6,6,119296,125,4096,9,0,4,9,320,99688,0,1
4,11,56096,10,10,61168,104,48776,14,10,5,9,16736,2840,0,1
4,6,5008,6,6,65696,104,4096,9,0,4,9,320,2848,0,1
4,6,4480,6,6,15904,90,4096,9,0,4,9,320,1104,0,1
4,11,208192,10,10,224864,136,186520,14,10,6,9,16736,6332072,0,1
4,6,5136,6,6,93632,133,4096,9,0,4,9,320,597760,0,1
1,11,5152,10,10,15456,596,20480,14,10,4,9,16704,1056,0,1
4,11,21888,10,10,24768,76,20752,14,10,7,9,16736,1328,0,1
4,10,160800,0,6,0,0,159744,12,0,5,12,33120,1448,0,1
4,11,225232,10,10,254592,112,216048,14,10,6,9,16736,1296,0,1
4,11,123584,10,10,139552,6048,119760,14,10,6,9,16736,1008,0,1
1,6,40028,0,4,0,0,8192,48,0,2,12,34112,1072,0,1
4,0,0,0,4,70704,162,49152,8,0,5,12,352,1984,0,1
1,0,0,0,4,46912,162,36864,6,0,5,12,320,1984,0,1
1,11,70800,21315,10,342464,163,352256,14,10,4,9,16704,16224,0,1
4,11,370704,21315,10,395376,164,300080,14,10,5,9,16736,16224,0,1
1,10,625752,21315,6,614332,163,4096,9,0,3,9,320,16224,0,1
4,10,795876,21315,6,782604,163,4096,9,0,4,9,320,16224,0,1
1,11,25008,10,10,79008,106,86016,14,10,4,9,16704,1056,0,1
4,11,80000,10,10,83984,108,59424,14,10,5,9,16736,1056,0,1
4,6,4896,6,6,308432,78,4096,9,0,4,9,320,1064,0,1
1,11,82088,10,6,18172,226,90112,14,10,4,12,320,984,0,1
4,6,36864,0,4,53248,292,58048,2,28,9,18,0,0,0,1
4,6,28672,0,4,45056,149,49968,2,28,9,18,0,0,0,1
1,6,37324,0,4,0,0,8192,48,0,2,12,34144,1720,0,1
4,11,488864,10,10,629104,684,449824,14,10,6,9,16736,2880,0,1
4,6,5056,6,6,284016,431,4096,9,0,4,9,320,2800,0,1
4,11,120032,10,10,146512,124,113048,14,10,6,9,16736,8992,0,1
4,11,40272,10,10,0,0,35344,14,10,5,11,49504,4872,0,1
1,6,4688,6,6,0,0,4096,9,0,3,9,33088,4872,0,1
4,6,5264,6,6,0,0,4096,9,0,4,11,33088,4872,0,1
1,11,7952,10,10,0,0,36864,14,10,4,9,49472,4872,0,1
4,11,541840,10,10,0,0,487608,14,10,5,11,49504,628416,0,1
4,6,8864,6,6,0,0,4096,9,0,4,11,33088,628336,0,1
4,11,99280,10,10,104400,104,86080,14,10,6,9,16736,632216,0,1
4,6,6464,6,6,137136,162,4096,9,0,4,9,320,633472,0,1
4,11,354320,10,10,401968,180,322504,14,10,6,9,16736,1024,0,1
4,11,996336,10,10,1026544,252,898680,14,10,6,9,16736,107160,0,1
4,6,8176,6,6,1079792,216,4096,9,0,4,9,320,107160,0,1
4,11,22352,10,10,23840,72,21040,14,10,5,9,16736,1000,0,1
4,11,18096,10,10,19504,84,16656,14,10,5,9,16736,1016,0,1
4,11,162032,10,10,168528,108,149112,14,10,5,9,16736,1288,0,1
4,11,95168,10,10,105696,108,85576,14,10,5,9,16736,1040,0,1
4,11,303408,10,10,329888,116,279184,14,10,6,9,16736,1072,0,1
4,11,97168,10,10,106784,108,77568,14,10,6,9,16736,1344,0,1
4,11,234816,10,10,246672,108,223304,14,10,6,9,16736,1288,0,1
4,11,117744,10,10,128768,148,107160,14,10,6,9,16736,1088,0,1
4,11,55728,10,10,65888,104,51760,14,10,6,9,16736,54640,0,1
1,6,442864,0,4,510224,193,442368,8,0,5,12,320,56064,0,1
1,6,442848,0,4,510160,193,442368,8,0,5,12,320,56064,0,1
1,11,15584,10,10,192128,122,196608,14,10,5,9,16704,57224,0,1
4,11,223664,10,10,253696,124,206848,14,10,6,9,16736,57224,0,1
1,6,14836,0,4,0,0,8192,48,0,2,12,34144,1240,0,1
1,6,25068,0,4,0,0,8192,48,0,2,12,34144,1176,0,1
1,6,128356,0,4,0,0,8192,48,0,2,12,34144,1092,0,1
1,6,40104,0,4,0,0,8192,48,0,2,12,34144,1156,0,1
1,6,25676,0,4,0,0,8192,48,0,2,12,34144,1144,0,1
1,0,0,0,4,364176,465,339968,6,0,3,12,0,57140,0,1
4,0,0,6,6,0,0,0,11,0,0,9,352,206288,0,1
1,6,251344,0,5,320032,14057,249856,10,0,4,12,320,106232,0,1
1,6,378352,0,5,517872,168,376832,10,0,4,12,320,266400,0,1
1,10,6496,10,10,0,0,32768,12,10,3,9,49472,0,0,1
2,10,6208,10,10,0,0,32768,12,10,4,9,33088,0,0,1
5,10,68752,10,10,0,0,262144,12,10,4,11,49504,0,0,1
4,10,28400,10,10,0,0,24576,12,10,4,11,49504,0,0,1
1,11,19360,10,10,699424,440,724992,14,10,5,9,16704,21104,0,1
1,6,5264,6,6,522496,419,4096,9,0,3,9,320,10448,0,1
4,6,6384,6,6,667040,419,4096,9,0,4,9,320,10448,0,1
1,11,6400,10,10,20080,7462,32768,14,10,5,9,16704,1040,0,1
4,11,25792,10,10,29232,7464,21872,14,10,6,9,16736,1040,0,1
1,11,520576,10,10,526144,55376,461472,14,10,4,9,16704,1312,0,1
4,11,500048,10,10,569056,56136,475392,14,10,5,9,16736,1312,0,1
1,6,69136,6,6,840016,43002,65536,9,0,3,9,320,1320,0,1
4,6,11472,6,6,1077360,43840,4096,9,0,4,9,320,1320,0,1
